
Date,Name,Tags,URL,Description
2021-08-02,Movies that scared the hell out of me ,"horror, opinions no one asked for, scary movies",https://boxd.it/cVbNm,"Movies that gave me a good scare. Whether or not I thought the movie was “good” is another story. I tried my best to rank them, but I found these scary for different reasons so it became difficult. Some rely on jump scares, some are just extremely unsettling and made me want to sleep with the lights on."

Position,Name,Year,URL,Description
1,Ju-on: The Grudge,2002,https://boxd.it/1SY6,
2,The Descent,2005,https://boxd.it/1YNy,
3,Ringu,1998,https://boxd.it/26tw,
4,The Strangers,2008,https://boxd.it/1VGY,
5,Creep,2014,https://boxd.it/7l4c,
6,Friday the 13th,1980,https://boxd.it/24fs,
7,Paranormal Activity,2007,https://boxd.it/1yIM,
8,The Blair Witch Project,1999,https://boxd.it/26ua,
9,Halloween,1978,https://boxd.it/2wRu,
10,Baskin,2015,https://boxd.it/b24U,
11,Hostel,2005,https://boxd.it/28ig,
12,Sinister,2012,https://boxd.it/2TnW,
13,The Last House on the Left,1972,https://boxd.it/1M4m,
14,The Last House on the Left,2009,https://boxd.it/1H2q,
15,The Grudge,2004,https://boxd.it/27Jq,
16,The Wailing,2016,https://boxd.it/9fLy,
17,Hard Candy,2005,https://boxd.it/26vs,
18,Jeepers Creepers,2001,https://boxd.it/1ZAg,
19,Jaws,1975,https://boxd.it/2a5e,
20,Carrie,1976,https://boxd.it/20ZQ,
21,Deep Blue Sea,1999,https://boxd.it/1ZBo,
22,The Hills Have Eyes,1977,https://boxd.it/1Sa6,
