Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-08,Free Solo,2018,https://boxd.it/W0qRd,4.5,,,2020-01-07
2020-01-11,The Dawn Wall,2017,https://boxd.it/WdJ8R,4.5,,,2020-01-10
2020-01-11,Casting JonBenet,2017,https://boxd.it/WemKv,3.5,,,2020-01-10
2020-01-26,Midsommar,2019,https://boxd.it/XEPiB,4.5,,,2020-01-25
2020-02-21,The Evil Dead,1981,https://boxd.it/ZWMuj,3.5,,,2020-02-20
2020-02-24,Parasite,2019,https://boxd.it/10fsj9,5,,,2020-02-23
2020-03-23,Ratatouille,2007,https://boxd.it/12zn0T,4,,,2020-03-22
2020-05-09,The Lighthouse,2019,https://boxd.it/18mG3F,3.5,,,2020-05-08
2020-08-23,The Little Shop of Horrors,1960,https://boxd.it/1jyVYf,2.5,,,2020-08-22
2020-09-09,The Lodge,2019,https://boxd.it/1lrxNh,2.5,,,2020-09-06
2020-09-09,Southbound,2015,https://boxd.it/1lrsRN,4,,,2020-09-08
2020-12-20,Ma Rainey's Black Bottom,2020,https://boxd.it/1wo5Qv,3,,,2020-12-19
2020-12-26,Soul,2020,https://boxd.it/1xdfrH,4.5,,,2020-12-25
2020-12-27,Sound of Metal,2019,https://boxd.it/1xpMjZ,4.5,,,2020-12-26
2021-02-06,Crawl,2019,https://boxd.it/1DPq6Z,3.5,,,2021-02-05
2021-02-12,The Wailing,2016,https://boxd.it/1EEYeP,4,,,2021-02-11
2021-03-06,Nomadland,2020,https://boxd.it/1HK7bx,4.5,,,2021-03-05
2021-03-12,There Will Be Blood,2007,https://boxd.it/1Ixazv,4,,,2021-03-11
2021-03-16,The Handmaiden,2016,https://boxd.it/1J6LTH,4,,,2021-03-15
2021-03-21,Minari,2020,https://boxd.it/1JKzzb,4.5,,,2021-03-20
2021-04-12,Burning,2018,https://boxd.it/1MW7CR,5,Yes,"topstats, top2018",2021-04-11
2021-04-19,Nightcrawler,2014,https://boxd.it/1NWbMZ,4,Yes,,2021-04-18
2021-05-01,I Saw the Devil,2010,https://boxd.it/1PC21t,3.5,,,2021-04-30
2021-05-18,Saw,2004,https://boxd.it/1RVvQ7,4,Yes,,2021-05-17
2021-05-21,Saw II,2005,https://boxd.it/1Si4GP,3,Yes,,2021-05-20
2021-05-21,Saw III,2006,https://boxd.it/1SiLmj,3.5,Yes,,2021-05-20
2021-05-29,A Quiet Place Part II,2020,https://boxd.it/1ThUxd,4,,,2021-05-28
2021-06-07,The Conjuring: The Devil Made Me Do It,2021,https://boxd.it/1UDyfJ,3,,,2021-06-06
2021-06-08,Bo Burnham: Inside,2021,https://boxd.it/1UL6xB,3.5,,,2021-06-07
2021-06-09,Memories of Murder,2003,https://boxd.it/1UTePf,4,,,2021-06-08
2021-06-10,Suspiria,2018,https://boxd.it/1V10tZ,3.5,,,2021-06-09
2021-06-18,Dogtooth,2009,https://boxd.it/1VZcen,3.5,,,2021-06-17
2021-06-21,Saint Maud,2019,https://boxd.it/1WoUE5,2.5,,,2021-06-20
2021-07-08,State of Play,2009,https://boxd.it/1YF7TR,3,,,2021-07-07
2021-07-15,The Strange Thing About the Johnsons,2011,https://boxd.it/1ZGInz,3.5,,,2021-07-14
2021-07-16,A Classic Horror Story,2021,https://boxd.it/1ZRsyj,2.5,,,2021-07-15
2021-07-26,Possessor,2020,https://boxd.it/21p2G9,4,,,2021-07-25
2021-07-28,Let the Right One In,2008,https://boxd.it/21GniB,4,Yes,,2021-07-27
2021-07-30,Saw VI,2009,https://boxd.it/21WVyb,3,Yes,,2021-07-29
2021-07-31,The Lords of Salem,2012,https://boxd.it/225Abj,2,,,2021-07-30
2021-08-01,My Heart Can't Beat Unless You Tell It To,2020,https://boxd.it/22fMJd,4,,,2021-07-31
2021-08-02,Ju-on: The Grudge,2002,https://boxd.it/22pLFT,4.5,Yes,"profile, topstats",2021-08-01
2021-08-04,Funny Games,1997,https://boxd.it/22GHPz,3.5,,,2021-08-03
2021-08-05,Lake Mungo,2008,https://boxd.it/22QfJt,4,,profile,2021-08-04
2021-08-06,Onibaba,1964,https://boxd.it/22XNkV,4,,,2021-08-05
2021-08-07,Pulse,2001,https://boxd.it/237OD5,4,,,2021-08-06
2021-08-09,Martyrs,2008,https://boxd.it/23nUOZ,,,,2021-08-08
2021-08-15,The Descent,2005,https://boxd.it/24ikyv,4.5,Yes,,2021-08-14
2021-08-17,The Hills Have Eyes,1977,https://boxd.it/24C08R,2.5,Yes,,2021-08-16
2021-08-20,Lights Out,2016,https://boxd.it/250BKB,3.5,,,2021-08-19
2021-08-21,Portrait of a Lady on Fire,2019,https://boxd.it/259wb5,5,,,2021-08-20
2021-08-24,Alien,1979,https://boxd.it/25CPmz,4.5,Yes,,2021-08-23
2021-08-25,The Wicker Man,1973,https://boxd.it/25KrmB,4,,,2021-08-24
2021-08-28,No Country for Old Men,2007,https://boxd.it/268AeJ,4.5,,,2021-08-27
2021-08-29,Tigers Are Not Afraid,2017,https://boxd.it/26ggFB,4.5,,,2021-08-28
2021-08-30,The Brood,1979,https://boxd.it/26sRIr,3.5,,,2021-08-29
2021-09-10,A Tale of Two Sisters,2003,https://boxd.it/280Exx,4.5,,,2021-09-09
2021-09-14,Malignant,2021,https://boxd.it/28ArYn,3,,,2021-09-13
2021-09-26,Prom Night,2008,https://boxd.it/2a8eq5,1.5,,,2021-09-25
2021-10-02,The Texas Chain Saw Massacre,1974,https://boxd.it/2aTHij,4,Yes,,2021-10-01
2021-10-02,Raw,2016,https://boxd.it/2aVMhp,5,Yes,,2021-10-01
2021-10-03,Titane,2021,https://boxd.it/2b6pK1,4,,,2021-10-02
2021-10-04,The Invisible Man,2020,https://boxd.it/2bf7sB,4,,,2021-10-03
2021-10-06,The Empty Man,2020,https://boxd.it/2bAPgL,3.5,,,2021-10-05
2021-10-10,Friday the 13th,1980,https://boxd.it/2c2SrX,3.5,Yes,,2021-10-09
2021-10-12,Audition,1999,https://boxd.it/2cveQV,4,Yes,,2021-10-11
2021-10-13,V/H/S/94,2021,https://boxd.it/2cFWpT,3,,,2021-10-12
2021-10-16,The Medium,2021,https://boxd.it/2d4fzr,3.5,,,2021-10-15
2021-10-16,Ringu,1998,https://boxd.it/2d5bQP,4,Yes,,2021-10-15
2021-10-18,Trick 'r Treat,2007,https://boxd.it/2djK2t,4,Yes,,2021-10-17
2021-10-19,Hellraiser,1987,https://boxd.it/2dAtKx,4.5,,,2021-10-18
2021-10-22,Noroi: The Curse,2005,https://boxd.it/2e11SR,4.5,,,2021-10-21
2021-10-23,The Wailing,2016,https://boxd.it/2e90vt,5,Yes,,2021-10-22
2021-10-29,High Life,2018,https://boxd.it/2f8HcB,2.5,,,2021-10-28
2021-11-01,Kandisha,2020,https://boxd.it/2fGpJv,2.5,,,2021-10-31
2021-11-10,Caveat,2020,https://boxd.it/2h4wDh,3.5,,,2021-11-09
2021-11-17,Mother,2009,https://boxd.it/2icAN1,4,,,2021-11-16
2021-11-22,The Terror Within,1989,https://boxd.it/2iWFTZ,2,,,2021-11-21
2021-11-22,The Terror Within II,1991,https://boxd.it/2iXlIp,1.5,,,2021-11-21
2021-11-22,Deathstalker,1983,https://boxd.it/2iYqTJ,1,,,2021-11-21
2021-11-23,The Lobster,2015,https://boxd.it/2j7bRL,4,,,2021-11-22
2021-11-24,Her,2013,https://boxd.it/2jePMl,4,,,2021-11-23
2021-11-26,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/2jtgWl,3.5,Yes,,2021-11-25
2021-12-16,Natural Born Killers,1994,https://boxd.it/2mrFGF,3,,,2021-12-15
2021-12-17,Les Misérables,2012,https://boxd.it/2mFq1P,1.5,,,2021-12-16
2021-12-26,The Nine Lives of Christmas,2014,https://boxd.it/2onfDl,3.5,,,2021-12-25
2021-12-28,Don't Look Up,2021,https://boxd.it/2p8cd9,2.5,,,2021-12-27
2021-12-31,Licorice Pizza,2021,https://boxd.it/2pXE4V,3,,,2021-12-31
2022-01-02,Censor,2021,https://boxd.it/2qnkaB,3.5,,,2022-01-01
2022-01-03,Gaia,2021,https://boxd.it/2qHOmn,3,,,2022-01-02
2022-01-04,Punch-Drunk Love,2002,https://boxd.it/2r3rOd,2.5,,,2022-01-03
2022-01-14,I Know What You Did Last Summer,1997,https://boxd.it/2tx1v3,3,,,2022-01-13
2022-01-15,The Alpinist,2021,https://boxd.it/2tUoAB,4.5,,,2022-01-14
2022-01-16,Kwaidan,1964,https://boxd.it/2ubSC7,4,,,2022-01-15
2022-01-17,It Follows,2014,https://boxd.it/2usFXZ,2.5,Yes,,2022-01-16
2022-01-20,Creep,2014,https://boxd.it/2v7bu1,4,Yes,,2022-01-19
2022-01-21,Terrified,2017,https://boxd.it/2viyNn,3,,,2022-01-20
2022-01-23,The Host,2006,https://boxd.it/2vDO25,3.5,,,2022-01-22
2022-01-25,You Won't Be Alone,2022,https://boxd.it/2wbvtf,3.5,,,2022-01-24
2022-01-27,House,1977,https://boxd.it/2wxIXB,4,,,2022-01-26
2022-01-28,Hellbound: Hellraiser II,1988,https://boxd.it/2wII8Z,3.5,,,2022-01-27
2022-01-31,Suspiria,1977,https://boxd.it/2xmtoN,4,,,2022-01-30
2022-02-04,The Thing,1982,https://boxd.it/2y0Vbn,4.5,,,2022-02-03
