Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-05-02,Korean Films Ranked,,https://boxd.it/bZvay,There’s so many good ones that I rate highly but I need a more definitive ranking

Position,Name,Year,URL,Description
1,Burning,2018,https://boxd.it/hHUa,
2,Parasite,2019,https://boxd.it/hTha,
3,The Wailing,2016,https://boxd.it/9fLy,
4,A Tale of Two Sisters,2003,https://boxd.it/248m,
5,The Handmaiden,2016,https://boxd.it/948A,
6,Memories of Murder,2003,https://boxd.it/1TSo,
7,I Saw the Devil,2010,https://boxd.it/FaK,
8,Mother,2009,https://boxd.it/1m9g,
9,Oldboy,2003,https://boxd.it/29R2,
