Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-27,Movies I wish I could watch again for the first time,,https://boxd.it/cR2H2,"Maybe it’s because there’s a really great plot twist. Maybe it’s an emotional rollercoaster that can never be recreated. Whatever it is, I wish I could see these movies again for the first time."

Position,Name,Year,URL,Description
1,Burning,2018,https://boxd.it/hHUa,
2,The Sixth Sense,1999,https://boxd.it/29Js,
3,There Will Be Blood,2007,https://boxd.it/20Z2,
4,Nightcrawler,2014,https://boxd.it/780m,
5,Sound of Metal,2019,https://boxd.it/i7Q4,
6,Nomadland,2020,https://boxd.it/lnRy,
7,Audition,1999,https://boxd.it/1UHm,
8,The Omen,1976,https://boxd.it/29By,
