Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-05-13,people absolutely losing their minds while in a car,,https://boxd.it/gzz9s,"~a very important genre~

suggestions welcome"

Position,Name,Year,URL,Description
1,Nightcrawler,2014,https://boxd.it/780m,
2,Drive,2011,https://boxd.it/IG,
3,Taxi Driver,1976,https://boxd.it/2b8y,
4,Death Proof,2007,https://boxd.it/27GG,
5,Natural Born Killers,1994,https://boxd.it/2aNg,
6,Are We There Yet?,2005,https://boxd.it/1Tms,
7,Titane,2021,https://boxd.it/nlQC,
8,Christine,1983,https://boxd.it/1ZRQ,
9,Drive My Car,2021,https://boxd.it/sv94,
10,Memento,2000,https://boxd.it/2bcK,
11,Transformers,2007,https://boxd.it/280c,
