Date,Name,Year,Letterboxd URI,Rating,director,country,genres,themes,Major Genre,ratingCount,communityScoreRaw,communityScoreWeighted
2019-01-18,Get Out,2017,https://boxd.it/eOCm,5.0,Jordan Peele,usa,"['thriller', 'horror', 'mystery']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",thriller,1051024,9,4.18
2019-01-18,Pulp Fiction,1994,https://boxd.it/29Pq,2.0,Quentin Tarantino,usa,"['crime', 'thriller']","['Crime, drugs and gangsters']",crime,1052044,8,4.3
2019-01-18,The Dark Knight,2008,https://boxd.it/2b0k,3.0,Christopher Nolan,uk,"['action', 'thriller', 'drama', 'crime']","['High speed and special ops', 'Epic heroes', 'Crime, drugs and gangsters']",action,1097276,10,4.44
2019-01-18,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4.0,Jj Abrams,usa,"['science-fiction', 'action', 'adventure', 'fantasy']","['Epic heroes', 'Monsters, aliens, sci-fi and the apocalypse']",science-fiction,701290,10,3.45
2019-01-18,Inception,2010,https://boxd.it/1skk,2.0,Christopher Nolan,uk,"['science-fiction', 'action', 'adventure']","['High speed and special ops', 'Monsters, aliens, sci-fi and the apocalypse']",science-fiction,1082836,8,4.18
2019-01-18,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4.0,Rian Johnson,usa,"['science-fiction', 'adventure', 'action']","['Epic heroes', 'Monsters, aliens, sci-fi and the apocalypse', 'War and historical adventure']",science-fiction,623401,9,3.13
2019-01-18,Fight Club,1999,https://boxd.it/2a9q,3.0,David Fincher,germany,['drama'],"['Intense violence and sexual transgression', 'Politics and human rights']",drama,1069423,10,4.28
2019-01-18,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.0,Martin Scorsese,usa,"['comedy', 'drama', 'crime']","['Crime, drugs and gangsters', 'Crude humor and satire']",comedy,920439,9,4.01
2019-01-18,The Shining,1980,https://boxd.it/29Nu,4.0,Stanley Kubrick,usa,"['horror', 'thriller']","['Horror, the undead and monster classics', 'Intense violence and sexual transgression']",horror,834412,10,4.27
2019-01-18,Inglourious Basterds,2009,https://boxd.it/1JzG,3.0,Quentin Tarantino,germany,"['thriller', 'drama', 'action', 'war']",['War and historical adventure'],thriller,888049,10,4.29
2019-01-18,Inside Out,2015,https://boxd.it/4KHC,3.0,Pete Docter,usa,"['adventure', 'comedy', 'family', 'drama', 'animation']",[],adventure,738710,10,3.87
2019-01-18,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,5.0,Martin Mcdonagh,uk,"['drama', 'crime']","['Thrillers and murder mysteries', 'Intense violence and sexual transgression', 'Politics and human rights']",drama,405135,2,3.98
2019-01-18,Star Wars,1977,https://boxd.it/72s,4.0,George Lucas 1,usa,"['adventure', 'action', 'science-fiction']","['Monsters, aliens, sci-fi and the apocalypse', 'Epic heroes']",adventure,705047,9,4.21
2019-01-18,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4.0,Gareth Edwards,usa,"['action', 'adventure', 'science-fiction']","['Epic heroes', 'Monsters, aliens, sci-fi and the apocalypse', 'War and historical adventure']",action,557484,6,3.64
2019-01-18,Drive,2011,https://boxd.it/IG,4.0,Nicolas Winding Refn,usa,"['thriller', 'drama', 'crime']","['Crime, drugs and gangsters', 'High speed and special ops']",thriller,567827,2,3.96
2019-01-18,The Martian,2015,https://boxd.it/8SeG,4.0,Ridley Scott,uk,"['drama', 'science-fiction', 'adventure']","['Monsters, aliens, sci-fi and the apocalypse']",drama,563554,4,3.72
2019-01-18,The Godfather,1972,https://boxd.it/2aNK,4.0,Francis Ford Coppola,usa,"['crime', 'drama']","['Crime, drugs and gangsters', 'Politics and human rights', 'Epic history and literature']",crime,635848,10,4.54
2019-01-18,The Empire Strikes Back,1980,https://boxd.it/27Vw,4.0,Irvin Kershner,usa,"['science-fiction', 'adventure', 'action']","['Epic heroes', 'Monsters, aliens, sci-fi and the apocalypse']",science-fiction,640566,10,4.4
2019-01-18,The Social Network,2010,https://boxd.it/17ue,4.0,David Fincher,usa,['drama'],"['Underdogs and coming of age', 'Politics and human rights', 'Humanity and the world around us']",drama,796548,10,3.95
