,theme,Name,Rating,communityScoreWeighted
0,Intense violence and sexual transgression,Get Out,5.0,4.18
1,Intense violence and sexual transgression,Fight Club,3.0,4.28
2,Intense violence and sexual transgression,The Shining,4.0,4.27
3,Intense violence and sexual transgression,"Three Billboards Outside Ebbing, Missouri",5.0,3.98
4,Intense violence and sexual transgression,The Silence of the Lambs,4.0,4.31
5,Intense violence and sexual transgression,Se7en,4.0,4.28
6,Intense violence and sexual transgression,Nightcrawler,4.0,4.03
7,Intense violence and sexual transgression,Room,4.0,4.0
8,Intense violence and sexual transgression,Psycho,4.0,4.3
9,Intense violence and sexual transgression,Split,1.0,3.51
10,Intense violence and sexual transgression,The Witch,4.5,3.87
11,Intense violence and sexual transgression,Shutter Island,1.5,4.05
12,Intense violence and sexual transgression,It Follows,2.5,3.55
13,Intense violence and sexual transgression,Halloween,3.5,3.9
14,Intense violence and sexual transgression,Halloween,4.0,3.28
15,Intense violence and sexual transgression,Halloween,3.5,2.73
16,Intense violence and sexual transgression,Velvet Buzzsaw,3.0,2.43
17,Intense violence and sexual transgression,Rosemary's Baby,3.0,4.16
18,Intense violence and sexual transgression,The Conjuring,3.0,3.59
19,Intense violence and sexual transgression,It Comes at Night,3.0,3.22
20,Intense violence and sexual transgression,Carrie,3.0,3.86
21,Intense violence and sexual transgression,A Nightmare on Elm Street,3.5,3.77
22,Intense violence and sexual transgression,The Birds,3.0,3.73
23,Intense violence and sexual transgression,Saw,4.0,3.57
24,Intense violence and sexual transgression,Hush,3.5,3.28
25,Intense violence and sexual transgression,The Purge,3.0,2.7
26,Intense violence and sexual transgression,The Others,3.0,3.7
27,Intense violence and sexual transgression,Gerald's Game,2.5,3.2
28,Intense violence and sexual transgression,The Visit,3.0,3.07
29,Intense violence and sexual transgression,Evil Dead,4.0,3.34
30,Intense violence and sexual transgression,Antichrist,3.0,3.4
31,Intense violence and sexual transgression,The Ring,3.0,3.32
32,Intense violence and sexual transgression,You're Next,2.5,3.37
33,Intense violence and sexual transgression,Friday the 13th,3.5,3.11
34,Intense violence and sexual transgression,Friday the 13th,2.5,2.51
35,Intense violence and sexual transgression,Paranormal Activity,3.5,2.87
36,Intense violence and sexual transgression,Sinister,3.0,3.29
37,Intense violence and sexual transgression,Audition,4.0,3.8
38,Intense violence and sexual transgression,Oculus,2.5,3.19
39,Intense violence and sexual transgression,The Woman in Black,2.5,2.88
40,Intense violence and sexual transgression,Mama,3.0,2.73
41,Intense violence and sexual transgression,Orphan,3.5,3.33
42,Intense violence and sexual transgression,Saw II,3.0,3.07
43,Intense violence and sexual transgression,Christine,4.0,3.46
44,Intense violence and sexual transgression,The Strangers,4.0,3.03
45,Intense violence and sexual transgression,1408,3.0,3.16
46,Intense violence and sexual transgression,Silent Hill,3.0,3.03
47,Intense violence and sexual transgression,Candyman,3.0,3.65
48,Intense violence and sexual transgression,V/H/S,4.0,2.88
49,Intense violence and sexual transgression,Hostel,4.0,2.73
50,Intense violence and sexual transgression,Creep 2,3.5,3.37
51,Intense violence and sexual transgression,The Devil's Rejects,4.0,3.37
52,Intense violence and sexual transgression,The Hills Have Eyes,3.5,3.04
53,Intense violence and sexual transgression,The Hills Have Eyes,2.5,3.13
54,Intense violence and sexual transgression,Saw IV,3.0,2.62
55,Intense violence and sexual transgression,Paranormal Activity 2,2.5,2.55
56,Intense violence and sexual transgression,The Human Centipede (First Sequence),3.0,2.01
57,Intense violence and sexual transgression,Saw V,2.5,2.56
58,Intense violence and sexual transgression,The Eyes of My Mother,5.0,3.37
59,Intense violence and sexual transgression,House of Wax,3.0,2.87
60,Intense violence and sexual transgression,Saw 3D,2.5,2.29
61,Intense violence and sexual transgression,Saw VI,3.0,2.75
62,Intense violence and sexual transgression,XX,4.0,2.36
63,Intense violence and sexual transgression,The Sacrament,3.0,3.01
64,Intense violence and sexual transgression,The Autopsy of Jane Doe,3.0,3.25
65,Intense violence and sexual transgression,Us,4.0,3.72
66,Intense violence and sexual transgression,Green Room,3.5,3.7
67,Intense violence and sexual transgression,Apostle,3.5,3.12
68,Intense violence and sexual transgression,Raw,5.0,3.7
69,Intense violence and sexual transgression,Casting JonBenet,3.5,3.24
70,Intense violence and sexual transgression,Midsommar,4.5,3.84
71,Intense violence and sexual transgression,Parasite,5.0,4.58
72,Intense violence and sexual transgression,The Lighthouse,3.5,4.05
73,Intense violence and sexual transgression,Southbound,4.0,3.02
74,Intense violence and sexual transgression,The Lodge,2.5,3.18
